headline,url
Ukraine  US orders families of embassy staff to leave the country ,https://www.theguardian.com/world/2022/jan/24/us-orders-families-of-embassy-staff-out-of-ukraine
"Anthony Blinken Russia faces ‘swift, severe response’ ",https://www.theguardian.com/world/2022/jan/23/blinken-swift-severe-united-response-russia-invades-ukraine-biden-putin-pompeo
Kyiv Ministers 'taking UK claim of plot seriously',https://www.theguardian.com/world/2022/jan/23/ukraine-taking-uk-claim-of-russian-invasion-plot-seriously-says-adviser
EU Official vows rapid sanctions if Russia launches attack,https://www.theguardian.com/world/2022/jan/23/eu-official-vows-rapid-sanctions-if-russia-launches-ukraine-military-attack
"Anthony Blinken Russia faces ‘swift, severe response’ ",https://www.theguardian.com/world/2022/jan/23/blinken-swift-severe-united-response-russia-invades-ukraine-biden-putin-pompeo
Kyiv Ministers 'taking UK claim of plot seriously',https://www.theguardian.com/world/2022/jan/23/ukraine-taking-uk-claim-of-russian-invasion-plot-seriously-says-adviser
EU Official vows rapid sanctions if Russia launches attack,https://www.theguardian.com/world/2022/jan/23/eu-official-vows-rapid-sanctions-if-russia-launches-ukraine-military-attack
US orders families of embassy staff to leave the country,https://www.theguardian.com/world/2022/jan/24/us-orders-families-of-embassy-staff-out-of-ukraine
"Capitol attack  Committee has spoken to Trump AG William Barr, chairman says ",https://www.theguardian.com/us-news/2022/jan/23/capitol-attack-committee-donald-trump-william-barr
‘House of Trump is crumbling’ Why the legal net is tightening,https://www.theguardian.com/us-news/2022/jan/22/donald-trump-legal-perils
‘House of Trump is crumbling’ Why the legal net is tightening,https://www.theguardian.com/us-news/2022/jan/22/donald-trump-legal-perils
"Committee has spoken to Trump AG William Barr, chairman says",https://www.theguardian.com/us-news/2022/jan/23/capitol-attack-committee-donald-trump-william-barr
‘We had to mimic to everyone to run’  How Tonga’s volcano and tsunami disaster unfolded ,https://www.theguardian.com/world/2022/jan/24/houses-are-just-gone-tonga-emerges-from-volcano-and-tsunami-disaster
Tonga volcano 84% of population affected by ashfall and tsunami,https://www.theguardian.com/world/2022/jan/24/tonga-volcano-84-of-population-affected-by-ashfall-and-tsunami
Tonga volcano 84% of population affected by ashfall and tsunami,https://www.theguardian.com/world/2022/jan/24/tonga-volcano-84-of-population-affected-by-ashfall-and-tsunami
How Tonga’s volcano and tsunami disaster unfolded,https://www.theguardian.com/world/2022/jan/24/houses-are-just-gone-tonga-emerges-from-volcano-and-tsunami-disaster
Inflation  Fears grow that US action will trigger debt crisis ,https://www.theguardian.com/business/2022/jan/23/fears-grow-that-us-action-on-inflation-will-trigger-debt-crisis
Fears grow that US action will trigger debt crisis,https://www.theguardian.com/business/2022/jan/23/fears-grow-that-us-action-on-inflation-will-trigger-debt-crisis
"Sanders  Republicans to blame for Biden woes, not just Manchin and Sinema ",https://www.theguardian.com/us-news/2022/jan/23/bernie-sanders-criticizes-republicans-kyrsten-sinema-joe-manchin
"Republicans to blame for Biden woes, not just Manchin and Sinema",https://www.theguardian.com/us-news/2022/jan/23/bernie-sanders-criticizes-republicans-kyrsten-sinema-joe-manchin
Anthony Fauci  US ‘confident’ Omicron will soon peak even as hospitals struggle ,https://www.theguardian.com/us-news/2022/jan/23/fauci-omicron-us-peak
US ‘confident’ Omicron will soon peak even as hospitals struggle,https://www.theguardian.com/us-news/2022/jan/23/fauci-omicron-us-peak
Florida   Man pleads guilty to threatening to kill Ocasio-Cortez and Pelosi ,https://www.theguardian.com/us-news/2022/jan/23/florida-man-pleads-guilty-threats-kill-aoc-nancy-pelosi
Man pleads guilty to threatening to kill Ocasio-Cortez and Pelosi,https://www.theguardian.com/us-news/2022/jan/23/florida-man-pleads-guilty-threats-kill-aoc-nancy-pelosi
‘Soiled coat with red blood’  New York mayor Eric Adams mourns shot police officer  ,https://www.theguardian.com/us-news/2022/jan/23/new-york-police-officer-shot-eric-adams
New York mayor Eric Adams mourns shot police officer ,https://www.theguardian.com/us-news/2022/jan/23/new-york-police-officer-shot-eric-adams
Brexit  Furious British citizens stranded in EU countries ,https://www.theguardian.com/politics/2022/jan/23/brexit-leaves-furious-british-citizens-stranded-in-eu-countries
Furious British citizens stranded in EU countries,https://www.theguardian.com/politics/2022/jan/23/brexit-leaves-furious-british-citizens-stranded-in-eu-countries
Boris Johnson  Calls for Tory Islamophobia inquiry as PM drawn into row ,https://www.theguardian.com/politics/2022/jan/23/calls-for-tory-islamophobia-inquiry-as-pm-drawn-into-nusrat-ghani-row
Calls for Tory Islamophobia inquiry as PM drawn into row,https://www.theguardian.com/politics/2022/jan/23/calls-for-tory-islamophobia-inquiry-as-pm-drawn-into-nusrat-ghani-row
Ireland  Police rule out foul play in post office dead man pension incident ,https://www.theguardian.com/world/2022/jan/23/ireland-carlow-death-post-office-pension
Police rule out foul play in post office dead man pension incident,https://www.theguardian.com/world/2022/jan/23/ireland-carlow-death-post-office-pension
